Nest | ---,(o) <DM> (e) | mag,<Dist> | Mpc,Abell | ---,GName | ---,Npv | ---,PGC1 | ---,GLON GLAT | deg deg,SGLON | deg,SGLAT | deg,logLKs | [Lsun],CF | ---,sigP | km/s,R2t | Mpc,<HV> | km/s,<Vgsr> | km/s,<Vls> | km/s,<Vcmb> | km/s,<Vcmba> | km/s,sigma | km/s,Mvir | TMsun,Mlum | TMsun,LDC | ---,HDC | ---,2M++ | ---,MK2011 | ---,Icnt | ---
100002,161 31.01 0.02,15.9,,Virgo,197,41220,284.09 74.41,103.0008,-2.3248,12.94,1,707,1.92,1156,1098,1064,1485,1491,670,934.667,705.333,852,716,0,5066891,1
200009,113 36.33 0.04,184.4,A3716,,52,66047,345.81 -39.39,224.6483,17.2124,14.21,9.9,1950,5.295,14072,14028,13998,13924,14434,916,4746.667,14800.001,0,0,3385,0,2834
100010,112 36.45 0.04,194.7,A3558,,55,47202,312.07 30.45,149.1678,-1.3439,14.18,7.95,1908,5.18,14414,14263,14192,14697,15265,1002,4946.667,13866.667,0,0,2182,0,2551
100001,106 34.92 0.04,96.5,A1656,Coma,136,44715,58.99 88.14,89.6226,8.1461,13.4,1.65,1045,2.839,6926,6940,6926,7195,7331,886,2120,2280,890,734,1952,0,2493
100007,99 35.86 0.04,148.7,A2147,,86,56962,30.43 44.46,108.5182,49.0878,13.77,3.3,1385,3.761,11180,11283,11273,11270,11603,1261,7080,5306.667,0,0,2138,0,2652
100006,69 33.67 0.05,54.3,A1060,Hydra,85,31478,269.60 26.41,139.4478,-37.6063,12.73,1.14,588,1.597,3712,3490,3424,4055,4099,648,585.333,406.667,712,592,1122,5066799,487
100003,66 33.04 0.04,40.5,A3526,Centaurus,113,43296,302.20 21.74,156.2336,-11.5868,13,1.12,746,2.027,3550,3361,3285,3834,3873,822,1440,830.667,881,722,1107,5066908,441
200015,65 31.36 0.03,18.7,,Fornax,49,12651,236.82 -54.80,262.8089,-40.9336,12.33,1,414,1.123,1457,1326,1319,1357,1362,301,107.333,141.333,391,235,2,5066701,843
100004,62 35.47 0.06,124.3,A2199,,81,58265,63.86 43.84,71.5103,49.7851,13.41,2.26,1057,2.871,9177,9348,9369,9202,9424,740,1880,2360,1134,936,1858,0,2642
200007,61 35.83 0.06,146.9,A0496,,54,15524,209.07 -36.70,296.2707,-55.3232,13.28,2.37,954,2.591,9904,9794,9803,9851,10106,529,914.667,1733.333,307,294,3653,0,2181
100008,49 31.10 0.04,16.6,,UrsaMajor,56,37617,145.77 66.08,66.3257,2.3928,12.05,1,324,0.88,908,968,982,1114,1117,140,73.467,67.867,852,699,0,5066850,102
200016,48 35.49 0.06,125.2,A2634,,36,71985,103.70 -33.26,319.4263,23.6029,13.1,2.28,816,2.217,9413,9611,9680,9066,9282,663,650.667,1086.667,1523,1243,3850,0,2935
200001,44 34.14 0.06,67.4,A0426,Perseus,180,12429,150.36 -13.41,347.7159,-14.0594,13.25,1.24,931,2.529,5370,5480,5547,5209,5281,962,2173.333,1613.333,229,214,0,0,2121
